ID,Ath_besthit,Araport11_defline
HORVU.MOREX.r2.1HG0001040.1,AT1G53280,Class I glutamine amidotransferase-like superfamily protein
HORVU.MOREX.r2.1HG0001050.1,AT1G53280,Class I glutamine amidotransferase-like superfamily protein
HORVU.MOREX.r2.1HG0001160.1,AT4G21410,cysteine-rich RLK (RECEPTOR-like protein kinase) 29
HORVU.MOREX.r2.1HG0001170.1,AT3G01460,methyl-CPG-binding domain 9
HORVU.MOREX.r2.1HG0001180.1,AT4G02610,Aldolase-type TIM barrel family protein
HORVU.MOREX.r2.1HG0001250.1,AT5G16180,maize chloroplast splicing factor-like protein
HORVU.MOREX.r2.1HG0001260.1,AT1G24050,"RNA-processing, Lsm domain-containing protein"
HORVU.MOREX.r2.1HG0001400.1,AT1G70250,receptor serine/threonine kinase
HORVU.MOREX.r2.1HG0001410.1,AT1G66920,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0001430.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0001480.1,AT5G22500,fatty acid reductase 1
HORVU.MOREX.r2.1HG0001530.1,AT5G42140,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
HORVU.MOREX.r2.1HG0001540.1,AT5G09810,actin 7
HORVU.MOREX.r2.1HG0001550.1,AT2G18465,Chaperone DnaJ-domain superfamily protein
HORVU.MOREX.r2.1HG0001570.1,AT5G07500,Zinc finger C-x8-C-x5-C-x3-H type family protein
HORVU.MOREX.r2.1HG0001580.1,AT1G03940,HXXXD-type acyl-transferase family protein
HORVU.MOREX.r2.1HG0001600.1,AT5G52000,importin alpha isoform 8
HORVU.MOREX.r2.1HG0001610.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0001620.1,AT1G59620,Disease resistance protein (CC-NBS-LRR class) family
HORVU.MOREX.r2.1HG0001640.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0001690.1,AT5G47790,SMAD/FHA domain-containing protein
HORVU.MOREX.r2.1HG0001700.1,AT1G53590,Calcium-dependent lipid-binding (CaLB domain) family protein
HORVU.MOREX.r2.1HG0001710.1,AT1G19910,"ATPase, F0/V0 complex, subunit C protein"
HORVU.MOREX.r2.1HG0001720.1,AT4G06634,zinc finger (C2H2 type) family protein
HORVU.MOREX.r2.1HG0001730.1,AT5G45460,transmembrane protein
HORVU.MOREX.r2.1HG0001750.1,AT1G70250,receptor serine/threonine kinase
HORVU.MOREX.r2.1HG0001760.1,AT1G66910,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0001870.1,AT1G22860,Vacuolar sorting protein 39
HORVU.MOREX.r2.1HG0001880.1,AT2G46870,AP2/B3-like transcriptional factor family protein
HORVU.MOREX.r2.1HG0001890.1,AT5G07610,F-box family protein
HORVU.MOREX.r2.1HG0001900.1,AT3G25500,formin homology 1
HORVU.MOREX.r2.1HG0001910.1,AT2G44065,Ribosomal protein L2 family
HORVU.MOREX.r2.1HG0001920.1,AT2G43780,cytochrome oxidase assembly protein
HORVU.MOREX.r2.1HG0001940.1,AT2G20495,Serine/Threonine-kinase
HORVU.MOREX.r2.1HG0001960.1,AT4G29090,Ribonuclease H-like superfamily protein
HORVU.MOREX.r2.1HG0001980.1,AT3G07370,carboxyl terminus of HSC70-interacting protein
HORVU.MOREX.r2.1HG0002010.1,AT3G62760,Glutathione S-transferase family protein
HORVU.MOREX.r2.1HG0002020.1,AT5G49810,methionine S-methyltransferase
HORVU.MOREX.r2.1HG0002040.1,AT1G30240,"proline-, glutamic acid/leucine-rich protein"
HORVU.MOREX.r2.1HG0002050.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0002070.1,AT2G02100,low-molecular-weight cysteine-rich 69
HORVU.MOREX.r2.1HG0002090.1,AT4G34710,arginine decarboxylase 2
HORVU.MOREX.r2.1HG0002120.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.1HG0002170.1,AT1G22630,SSUH2-like protein
HORVU.MOREX.r2.1HG0002180.1,AT1G71440,tubulin folding cofactor E / Pfifferling (PFI)
HORVU.MOREX.r2.1HG0002190.1,AT3G11730,Ras-related small GTP-binding family protein
HORVU.MOREX.r2.1HG0002200.1,AT1G09630,RAB GTPase 11C
HORVU.MOREX.r2.1HG0002210.1,AT1G76680,12-oxophytodienoate reductase 1
HORVU.MOREX.r2.1HG0002310.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0002320.1,AT1G50180,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0002330.1,AT1G62430,CDP-diacylglycerol synthase 1
HORVU.MOREX.r2.1HG0002350.1,AT1G16610,arginine/serine-rich 45
HORVU.MOREX.r2.1HG0002390.1,AT1G22610,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
HORVU.MOREX.r2.1HG0002410.1,AT2G19130,S-locus lectin protein kinase family protein
HORVU.MOREX.r2.1HG0002430.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0002460.1,AT1G10360,glutathione S-transferase TAU 18
HORVU.MOREX.r2.1HG0002490.1,AT4G35160,O-methyltransferase family protein
HORVU.MOREX.r2.1HG0002500.1,AT2G27880,Argonaute family protein
HORVU.MOREX.r2.1HG0002550.1,AT1G48720,Copia-like polyprotein/retrotransposon
HORVU.MOREX.r2.1HG0002560.1,AT1G66920,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0002570.1,AT1G70250,receptor serine/threonine kinase
HORVU.MOREX.r2.1HG0002580.1,AT1G70250,receptor serine/threonine kinase
HORVU.MOREX.r2.1HG0002590.1,AT1G50030,target of rapamycin
HORVU.MOREX.r2.1HG0002600.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0002620.1,AT2G19390,serine/arginine repetitive matrix protein
HORVU.MOREX.r2.1HG0002640.1,AT3G51320,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0002660.1,AT4G13870,Werner syndrome-like exonuclease
HORVU.MOREX.r2.1HG0002670.1,AT5G22450,"spectrin beta chain, brain"
HORVU.MOREX.r2.1HG0002720.1,AT4G17610,tRNA/rRNA methyltransferase (SpoU) family protein
HORVU.MOREX.r2.1HG0002750.1,AT3G07890,Ypt/Rab-GAP domain of gyp1p superfamily protein
HORVU.MOREX.r2.1HG0002780.1,AT2G11000,MAK10 homologue
HORVU.MOREX.r2.1HG0002790.1,AT5G13750,zinc induced facilitator-like 1
HORVU.MOREX.r2.1HG0002840.1,AT4G39850,peroxisomal ABC transporter 1
HORVU.MOREX.r2.1HG0002850.1,AT2G24350,RNA binding (RRM/RBD/RNP motifs) family protein
HORVU.MOREX.r2.1HG0002860.1,AT2G11000,MAK10 homologue
HORVU.MOREX.r2.1HG0002870.1,AT2G26190,calmodulin-binding family protein
HORVU.MOREX.r2.1HG0002960.1,AT4G13870,Werner syndrome-like exonuclease
HORVU.MOREX.r2.1HG0003010.1,AT4G24440,transcription initiation factor IIA gamma chain / TFIIA-gamma (TFIIA-S)
HORVU.MOREX.r2.1HG0003020.1,AT2G47330,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.1HG0003030.1,ATCG00130,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast"
HORVU.MOREX.r2.1HG0003040.1,AT1G56280,drought-induced 19
HORVU.MOREX.r2.1HG0003050.1,AT5G14460,Pseudouridine synthase family protein
HORVU.MOREX.r2.1HG0003070.1,AT4G28360,Ribosomal protein L22p/L17e family protein
HORVU.MOREX.r2.1HG0003080.1,AT1G67850,lysine ketoglutarate reductase trans-splicing protein (DUF707)
HORVU.MOREX.r2.1HG0003130.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0003170.1,AT5G48270,DUF868 family protein (DUF868)
HORVU.MOREX.r2.1HG0003180.1,AT4G29090,Ribonuclease H-like superfamily protein
HORVU.MOREX.r2.1HG0003190.1,ATMG00310,RNA-directed DNA polymerase (reverse transcriptase)-related family protein
HORVU.MOREX.r2.1HG0003210.1,AT3G48260,with no lysine (K) kinase 3
HORVU.MOREX.r2.1HG0003220.1,AT1G67180,zinc finger (C3HC4-type RING finger) family protein / BRCT domain-containing protein
HORVU.MOREX.r2.1HG0003260.1,AT1G14000,VH1-interacting kinase
HORVU.MOREX.r2.1HG0003270.1,AT1G12400,"Nucleotide excision repair, TFIIH, subunit TTDA"
HORVU.MOREX.r2.1HG0003280.1,AT4G35350,xylem cysteine peptidase 1
HORVU.MOREX.r2.1HG0003290.1,AT1G56070,Ribosomal protein S5/Elongation factor G/III/V family protein
HORVU.MOREX.r2.1HG0003300.1,AT2G40840,disproportionating enzyme 2
HORVU.MOREX.r2.1HG0003340.1,AT2G38870,"Serine protease inhibitor, potato inhibitor I-type family protein"
HORVU.MOREX.r2.1HG0003400.1,AT3G46530,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0003410.1,AT5G66700,homeobox 53
HORVU.MOREX.r2.1HG0003420.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0003460.1,AT3G05660,receptor like protein 33
HORVU.MOREX.r2.1HG0003470.1,AT1G58807,Disease resistance protein (CC-NBS-LRR class) family
HORVU.MOREX.r2.1HG0003480.1,AT2G29140,pumilio 3
HORVU.MOREX.r2.1HG0003500.1,AT3G21620,ERD (early-responsive to dehydration stress) family protein
HORVU.MOREX.r2.1HG0003600.1,AT2G37660,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0003620.1,AT5G02160,transmembrane protein
HORVU.MOREX.r2.1HG0003630.1,AT3G46620,zinc finger (C3HC4-type RING finger) family protein
HORVU.MOREX.r2.1HG0003640.1,AT3G50290,HXXXD-type acyl-transferase family protein
HORVU.MOREX.r2.1HG0003650.1,,
HORVU.MOREX.r2.1HG0003720.1,AT5G40400,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0003730.1,AT2G37650,GRAS family transcription factor
HORVU.MOREX.r2.1HG0003740.1,AT2G40700,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.1HG0003750.1,AT5G59410,Rab5-interacting family protein
HORVU.MOREX.r2.1HG0003760.1,AT3G48210,kinetochore protein
HORVU.MOREX.r2.1HG0003770.1,AT5G59400,PGR5-like A protein
HORVU.MOREX.r2.1HG0003790.1,AT1G06260,Cysteine proteinases superfamily protein
HORVU.MOREX.r2.1HG0003850.1,AT3G52820,purple acid phosphatase 22
HORVU.MOREX.r2.1HG0003870.1,AT5G02290,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0003900.1,AT1G07570,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0003910.1,AT2G26690,Major facilitator superfamily protein
HORVU.MOREX.r2.1HG0003920.1,AT3G22470,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0003930.1,AT1G12620,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0004000.1,AT5G13930,Chalcone and stilbene synthase family protein
HORVU.MOREX.r2.1HG0004040.1,AT3G63290,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
HORVU.MOREX.r2.1HG0004050.1,AT5G45400,Replication factor-A protein 1-like protein
HORVU.MOREX.r2.1HG0004060.1,AT1G80670,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0004070.1,AT4G05475,RNI-like superfamily protein
HORVU.MOREX.r2.1HG0004080.1,AT2G41640,Glycosyltransferase family 61 protein
HORVU.MOREX.r2.1HG0004130.1,AT3G46560,Tim10/DDP family zinc finger protein
HORVU.MOREX.r2.1HG0004200.1,AT2G28900,outer plastid envelope protein 16-1
HORVU.MOREX.r2.1HG0004220.1,AT1G07630,pol-like 5
HORVU.MOREX.r2.1HG0004230.1,AT3G09410,Pectinacetylesterase family protein
HORVU.MOREX.r2.1HG0004240.1,AT4G32920,glycine-rich protein
HORVU.MOREX.r2.1HG0004250.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0004260.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0004270.1,AT2G36290,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.1HG0004320.1,,
HORVU.MOREX.r2.1HG0004330.1,AT2G40030,nuclear RNA polymerase D1B
HORVU.MOREX.r2.1HG0004340.1,AT5G28288,Defensin-like (DEFL) family protein
HORVU.MOREX.r2.1HG0004350.1,AT2G43900,Endonuclease/exonuclease/phosphatase family protein
HORVU.MOREX.r2.1HG0004360.1,AT2G28840,hypothetical protein
HORVU.MOREX.r2.1HG0004390.1,AT4G32285,ENTH/ANTH/VHS superfamily protein
HORVU.MOREX.r2.1HG0004410.1,AT4G30840,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0004420.1,AT1G11680,CYTOCHROME P450 51G1
HORVU.MOREX.r2.1HG0004440.1,AT5G06240,embryo defective 2735
HORVU.MOREX.r2.1HG0004490.1,AT3G19740,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.1HG0004500.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0004550.1,AT1G21240,wall associated kinase 3
HORVU.MOREX.r2.1HG0004560.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0004620.1,AT3G20720,amino-terminal region of chorein
HORVU.MOREX.r2.1HG0004630.1,AT3G53720,cation/H+ exchanger 20
HORVU.MOREX.r2.1HG0004640.1,AT4G38660,Pathogenesis-related thaumatin superfamily protein
HORVU.MOREX.r2.1HG0004680.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0004700.1,AT5G62620,Galactosyltransferase family protein
HORVU.MOREX.r2.1HG0004760.1,AT2G39570,ACT domain-containing protein
HORVU.MOREX.r2.1HG0004790.1,AT5G52390,PAR1 protein
HORVU.MOREX.r2.1HG0004800.1,AT3G50150,"transmembrane protein, putative (DUF247)"
HORVU.MOREX.r2.1HG0004810.1,AT5G59890,actin depolymerizing factor 4
HORVU.MOREX.r2.1HG0004820.1,AT3G53670,hypothetical protein
HORVU.MOREX.r2.1HG0004830.1,AT5G02560,histone H2A 12
HORVU.MOREX.r2.1HG0004840.1,AT3G56250,hypothetical protein
HORVU.MOREX.r2.1HG0004850.1,AT2G19690,phospholipase A2-beta
HORVU.MOREX.r2.1HG0004860.1,AT5G02560,histone H2A 12
HORVU.MOREX.r2.1HG0004870.1,AT3G53620,pyrophosphorylase 4
HORVU.MOREX.r2.1HG0004900.1,AT2G31320,poly(ADP-ribose) polymerase 2
HORVU.MOREX.r2.1HG0004910.1,AT4G17140,pleckstrin homology (PH) domain-containing protein
HORVU.MOREX.r2.1HG0004960.1,AT4G16220,GDSL-like Lipase/Acylhydrolase superfamily protein
HORVU.MOREX.r2.1HG0004970.1,AT1G75400,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0004980.1,AT5G63710,Leucine-rich repeat protein kinase family protein
HORVU.MOREX.r2.1HG0005000.1,AT1G56690,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0005020.1,AT3G01410,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
HORVU.MOREX.r2.1HG0005030.1,AT2G06105,aspartyl protease gag-polyprotein
HORVU.MOREX.r2.1HG0005040.1,AT5G10290,leucine-rich repeat transmembrane protein kinase family protein
HORVU.MOREX.r2.1HG0005050.1,AT5G63710,Leucine-rich repeat protein kinase family protein
HORVU.MOREX.r2.1HG0005300.1,AT4G36290,compromized recognition of TCV 1
HORVU.MOREX.r2.1HG0005340.1,AT5G42740,Sugar isomerase (SIS) family protein
HORVU.MOREX.r2.1HG0005350.1,AT4G22000,tyrosine sulfotransferase-like protein
HORVU.MOREX.r2.1HG0005360.1,AT3G55340,phragmoplastin interacting protein 1
HORVU.MOREX.r2.1HG0005400.1,AT1G14300,ARM repeat superfamily protein
HORVU.MOREX.r2.1HG0005440.1,AT1G17930,"Aminotransferase-like, plant mobile domain family protein"
HORVU.MOREX.r2.1HG0005470.1,AT4G33280,AP2/B3-like transcriptional factor family protein
HORVU.MOREX.r2.1HG0005520.1,AT4G25840,glycerol-3-phosphatase 1
HORVU.MOREX.r2.1HG0005570.1,AT1G07670,endomembrane-type CA-ATPase 4
HORVU.MOREX.r2.1HG0005640.1,AT5G02500,heat shock cognate protein 70-1
HORVU.MOREX.r2.1HG0005660.1,AT3G48280,"cytochrome P450, family 71, subfamily A, polypeptide 25"
HORVU.MOREX.r2.1HG0005770.1,AT2G29510,hypothetical protein (DUF3527)
HORVU.MOREX.r2.1HG0005790.1,AT3G25270,Ribonuclease H-like superfamily protein
HORVU.MOREX.r2.1HG0005800.1,AT3G46220,E3 UFM1-protein ligase-like protein
HORVU.MOREX.r2.1HG0005810.1,AT3G46220,E3 UFM1-protein ligase-like protein
HORVU.MOREX.r2.1HG0005850.1,AT5G19160,TRICHOME BIREFRINGENCE-LIKE 11
HORVU.MOREX.r2.1HG0005860.1,AT3G46200,nudix hydrolase homolog 9
HORVU.MOREX.r2.1HG0005900.1,AT1G19260,TTF-type zinc finger protein with HAT dimerization domain-containing protein
HORVU.MOREX.r2.1HG0005960.1,AT3G08550,elongation defective 1 protein / ELD1 protein
HORVU.MOREX.r2.1HG0005990.1,AT3G48310,"cytochrome P450, family 71, subfamily A, polypeptide 22"
HORVU.MOREX.r2.1HG0006000.1,AT4G37970,cinnamyl alcohol dehydrogenase 6
HORVU.MOREX.r2.1HG0006010.1,AT1G22360,UDP-glucosyl transferase 85A2
HORVU.MOREX.r2.1HG0006020.1,AT5G01960,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0006050.1,AT3G26300,"cytochrome P450, family 71, subfamily B, polypeptide 34"
HORVU.MOREX.r2.1HG0006140.1,AT2G38860,Class I glutamine amidotransferase-like superfamily protein
HORVU.MOREX.r2.1HG0006170.1,AT1G52360,"Coatomer, beta' subunit"
HORVU.MOREX.r2.1HG0006180.1,AT3G53540,afadin
HORVU.MOREX.r2.1HG0006190.1,AT3G51050,FG-GAP repeat-containing protein
HORVU.MOREX.r2.1HG0006200.1,AT1G50870,F-box and associated interaction domains-containing protein
HORVU.MOREX.r2.1HG0006240.1,AT1G75270,dehydroascorbate reductase 2
HORVU.MOREX.r2.1HG0006250.1,AT1G07750,RmlC-like cupins superfamily protein
HORVU.MOREX.r2.1HG0006280.1,AT3G55260,beta-hexosaminidase 1
HORVU.MOREX.r2.1HG0006290.1,AT3G55270,mitogen-activated protein kinase phosphatase 1
HORVU.MOREX.r2.1HG0006370.1,AT5G59740,UDP-N-acetylglucosamine (UAA) transporter family
HORVU.MOREX.r2.1HG0006390.1,AT3G11750,Dihydroneopterin aldolase
HORVU.MOREX.r2.1HG0006400.1,AT3G13060,evolutionarily conserved C-terminal region 5
HORVU.MOREX.r2.1HG0006530.1,AT5G18270,NAC domain containing protein 87
HORVU.MOREX.r2.1HG0006540.1,AT2G42780,transcription elongation factor B polypeptide
HORVU.MOREX.r2.1HG0006570.1,AT3G43300,HOPM interactor 7
HORVU.MOREX.r2.1HG0006580.1,AT2G19470,casein kinase I-like 5
HORVU.MOREX.r2.1HG0006590.1,AT1G73965,CLAVATA3/ESR-RELATED 13
HORVU.MOREX.r2.1HG0006620.1,AT1G25682,coiled-coil protein (DUF572)
HORVU.MOREX.r2.1HG0006660.1,AT4G13460,SU(VAR)3-9 homolog 9
HORVU.MOREX.r2.1HG0006680.1,AT2G28690,"TOX high mobility group box protein, putative (DUF1635)"
HORVU.MOREX.r2.1HG0006720.1,AT3G46130,myb domain protein 48
HORVU.MOREX.r2.1HG0006820.1,AT2G18490,C2H2-like zinc finger protein
HORVU.MOREX.r2.1HG0006840.1,AT1G72870,Disease resistance protein (TIR-NBS class)
HORVU.MOREX.r2.1HG0006870.1,ATMG00850,DNA/RNA polymerases superfamily protein
HORVU.MOREX.r2.1HG0006940.1,AT5G60940,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0006970.1,AT4G02070,MUTS homolog 6
HORVU.MOREX.r2.1HG0007000.1,,
HORVU.MOREX.r2.1HG0007010.1,AT4G26640,WRKY family transcription factor family protein
HORVU.MOREX.r2.1HG0007020.1,AT2G26750,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.1HG0007030.1,AT5G08055,Defensin-like (DEFL) family protein
HORVU.MOREX.r2.1HG0007040.1,AT2G34930,disease resistance family protein / LRR family protein
HORVU.MOREX.r2.1HG0007070.1,AT2G35060,K+ uptake permease 11
HORVU.MOREX.r2.1HG0007100.1,AT1G16850,transmembrane protein
HORVU.MOREX.r2.1HG0007110.1,AT2G18690,transmembrane protein
HORVU.MOREX.r2.1HG0007120.1,AT2G37710,receptor lectin kinase
HORVU.MOREX.r2.1HG0007130.1,AT4G10200,TTF-type zinc finger protein with HAT dimerization domain-containing protein
HORVU.MOREX.r2.1HG0007140.1,AT5G58510,Rab3 GTPase-activating protein catalytic protein
HORVU.MOREX.r2.1HG0007220.1,AT2G37710,receptor lectin kinase
HORVU.MOREX.r2.1HG0007230.1,AT3G53810,Concanavalin A-like lectin protein kinase family protein
HORVU.MOREX.r2.1HG0007330.1,AT5G25060,RNA recognition motif (RRM)-containing protein
HORVU.MOREX.r2.1HG0007340.1,AT3G07340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
HORVU.MOREX.r2.1HG0007390.1,AT3G28850,Glutaredoxin family protein
HORVU.MOREX.r2.1HG0007480.1,AT3G14460,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.1HG0007530.1,AT2G34930,disease resistance family protein / LRR family protein
HORVU.MOREX.r2.1HG0007540.1,AT4G08850,Leucine-rich repeat receptor-like protein kinase family protein
HORVU.MOREX.r2.1HG0007650.1,AT3G22600,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
HORVU.MOREX.r2.1HG0007670.1,AT3G14120,nuclear pore complex protein
HORVU.MOREX.r2.1HG0007720.1,,
HORVU.MOREX.r2.1HG0007730.1,AT3G07700,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0007740.1,AT2G39350,ABC-2 type transporter family protein
HORVU.MOREX.r2.1HG0007760.1,AT2G37340,arginine/serine-rich zinc knuckle-containing protein 33
HORVU.MOREX.r2.1HG0007770.1,AT5G52200,phosphoprotein phosphatase inhibitor
HORVU.MOREX.r2.1HG0007790.1,AT1G32780,GroES-like zinc-binding dehydrogenase family protein
HORVU.MOREX.r2.1HG0007830.1,AT2G48150,glutathione peroxidase 4
HORVU.MOREX.r2.1HG0007840.1,AT2G20340,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
HORVU.MOREX.r2.1HG0007850.1,AT5G03560,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.1HG0007890.1,AT2G02100,low-molecular-weight cysteine-rich 69
HORVU.MOREX.r2.1HG0007900.1,AT3G50760,galacturonosyltransferase-like 2
HORVU.MOREX.r2.1HG0007990.1,AT1G65010,WEB family protein (DUF827)
HORVU.MOREX.r2.1HG0008010.1,AT2G22560,Kinase interacting (KIP1-like) family protein
HORVU.MOREX.r2.1HG0008020.1,AT5G52540,"keratin-associated protein, putative (DUF819)"
HORVU.MOREX.r2.1HG0008050.1,AT1G01580,ferric reduction oxidase 2
HORVU.MOREX.r2.1HG0008070.1,AT1G31885,NOD26-like intrinsic protein 3;1
